1335380,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
29062594,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9252321,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13455076,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24165951,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1925869,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10799612,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28238240,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17124781,0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
28207941,0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0
19174305,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
18392317,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
34420857,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
4039635,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8034072,1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0
4016437,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1520023,0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
24589422,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
35068740,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21132951,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6575053,0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0
11990695,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
25807103,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
142423,1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
5107196,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
6747334,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8191245,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35030619,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
35764248,1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26393786,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1373219,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
2311219,1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
20533021,0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
31083557,1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
13448042,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
6285350,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2257358,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11074454,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
5239234,1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
6593182,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
3257958,0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
4716139,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9294,0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
3523090,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3723154,1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
3147170,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29049575,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
